estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SGDClassifier,0.7425531914893617,0.7482387062656263,0.759180790960452,0.007739203728390121,,300,l2,,0.1,modified_huber,,,,,
RandomForestClassifier,0.7399624765478425,0.7477650489665336,0.7541589648798521,0.0058806635171448325,,,,,,,,,,10,
SGDClassifier,0.7371794871794872,0.7465095800200235,0.7555555555555556,0.0075046880558194,,600,l2,,0.1,modified_huber,,,,,
GradientBoostingClassifier,0.7346647646219686,0.7460727238887782,0.7602094240837697,0.010605562284156886,,,,,,,,,,60,0.4
RidgeClassifier,0.7367678193366266,0.7455428250420356,0.7561061946902655,0.007995493502531838,,,,,1.0,,,,,,
LogisticRegression,0.7331652862801584,0.7451926446293737,0.7570621468926553,0.00975649102533541,0.01,400,l2,sag,,,,,,,
LogisticRegression,0.7331652862801584,0.7451926446293737,0.7570621468926553,0.00975649102533541,0.01,300,l2,sag,,,,,,,
LogisticRegression,0.7324450846236947,0.745102100649652,0.7570621468926553,0.010061950236650073,0.01,200,l2,sag,,,,,,,
LogisticRegression,0.7324450846236947,0.7449807492093526,0.7570621468926553,0.01005500563574852,0.01,300,l2,saga,,,,,,,
LogisticRegression,0.7324450846236947,0.74492352003312,0.7568904593639576,0.009986334253260919,0.01,100,l2,sag,,,,,,,
RidgeClassifier,0.7362869198312237,0.7448591129908203,0.7544357700496805,0.0074432027988264905,,,,,0.8,,,,,,
RidgeClassifier,0.7359154929577465,0.744820188249358,0.7543424317617866,0.007535429329761097,,,,,0.9,,,,,,
SGDClassifier,0.7358490566037736,0.7447723871777038,0.7563739376770537,0.00859058912394876,,500,l2,,0.1,modified_huber,,,,,
LogisticRegression,0.7317952415284787,0.7447359630454805,0.7570621468926553,0.01032431980265659,0.01,300,l2,newton-cg,,,,,,,
LogisticRegression,0.7317952415284787,0.7447359630454805,0.7570621468926553,0.01032431980265659,0.01,100,l2,newton-cg,,,,,,,
