estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
LogisticRegression,0.7393939393939394,0.7485113492034814,0.7660614525139664,0.012412944957109281,10,400,l1,saga,,,,,,,
RidgeClassifier,0.7400568181818181,0.748369723089775,0.7558505064617534,0.006474538184762485,,,,,0.4,,,,,,
LogisticRegression,0.7392857142857143,0.7480362334412534,0.7640292784942488,0.011325535409476641,10,300,l2,sag,,,,,,,
RidgeClassifier,0.7416048073524213,0.7480079607016937,0.7539267015706805,0.005042040649696312,,,,,0.3,,,,,,
LogisticRegression,0.7342406876790831,0.7470648277726687,0.767247386759582,0.014444613586729892,10,100,l2,lbfgs,,,,,,,
RidgeClassifier,0.7400352733686066,0.746934816826475,0.752011192724729,0.00505625790935743,,,,,0.2,,,,,,
GradientBoostingClassifier,0.7378846834099753,0.7466920652958162,0.7540049839800641,0.006665387601292142,,,,,,,,,,60,0.8
GradientBoostingClassifier,0.7384393063583814,0.7462132784104227,0.7538677918424753,0.0062992192031839115,,,,,,,,,,60,0.4
LogisticRegression,0.7380442541042114,0.7453428760697197,0.7588850174216026,0.009585423122599811,10,400,l2,sag,,,,,,,
RidgeClassifier,0.7367678193366266,0.7444547377773155,0.7518324607329843,0.00615399905135844,,,,,0.1,,,,,,
LogisticRegression,0.736503396496246,0.7427341989469595,0.753237661883094,0.007469967881551853,10,300,l2,lbfgs,,,,,,,
LogisticRegression,0.7345480528760271,0.7426015919478918,0.7558505064617534,0.009440783042399429,10,200,l2,newton-cg,,,,,,,
LogisticRegression,0.7345480528760271,0.7426015919478918,0.7558505064617534,0.009440783042399429,10,100,l2,newton-cg,,,,,,,
LogisticRegression,0.7345480528760271,0.7426015919478918,0.7558505064617534,0.009440783042399429,10,400,l2,newton-cg,,,,,,,
LogisticRegression,0.7345480528760271,0.7426015919478918,0.7558505064617534,0.009440783042399429,10,300,l2,newton-cg,,,,,,,
LogisticRegression,0.73409578270193,0.7424510816719988,0.756114605171209,0.009741323369106178,10,300,l2,liblinear,,,,,,,
LogisticRegression,0.73409578270193,0.7424510816719988,0.756114605171209,0.009741323369106178,10,200,l2,liblinear,,,,,,,
LogisticRegression,0.73409578270193,0.7424510816719988,0.756114605171209,0.009741323369106178,10,100,l2,liblinear,,,,,,,
LogisticRegression,0.73409578270193,0.7424510816719988,0.756114605171209,0.009741323369106178,10,400,l2,liblinear,,,,,,,
LogisticRegression,0.7379335001787629,0.7419756264495375,0.7485994397759103,0.004721539149633387,10,400,l2,lbfgs,,,,,,,
LogisticRegression,0.7318814709032488,0.7410614483997332,0.7564191533657183,0.010928485795473912,10,200,l2,lbfgs,,,,,,,
SVC,0.7316202712348323,0.7399418556416991,0.7527031740495292,0.00916171840769959,10,,,,,,linear,,,,
GradientBoostingClassifier,0.7372159090909091,0.7395510585207123,0.7411638700464119,0.0016907449960145734,,,,,,,,,,60,1.0
LogisticRegression,0.7288920555753473,0.7376968553681008,0.7501749475157452,0.00906863385080831,10,400,l1,liblinear,,,,,,,
SGDClassifier,0.7161764705882353,0.7375494497725152,0.7501622323166773,0.015194599565761444,,300,l2,,0.1,modified_huber,,,,,
LogisticRegression,0.7284390591589451,0.7374000363488328,0.7497374868743437,0.009016879908506623,10,300,l1,liblinear,,,,,,,
